time	        ay (m/s^2)
0,007265	0,0453
0,007843	0,0732
0,008251	0,0819
0,008556	0,0716
0,008816	0,0638
0,012723	0,0514
0,01898	        0,0296
0,021864	0,0105
0,026578	-0,0037
0,036696	-0,0272
0,037138	-0,0552
0,041263	-0,0569
0,055846	-0,0443
0,056251	-0,0319
0,06025	        -0,0221
0,068938	-0,0218
0,069919	-0,0216
0,074505	-0,019
0,08603	        -0,0165
0,086524	-0,0116
0,089181	0,0052
0,093785	0,0171
0,102645	0,0241
0,103579	0,024
0,109107	0,0263
0,11991	        0,0167
0,120451	0,0025
0,122779	-0,0116
0,127521	-0,0112
0,1363	        -0,0038
0,137226	-0,0059
0,141898	-0,0008
0,152743	-0,0078
0,153296	-0,0099
0,15677	        -0,0097
0,161302	-0,0071
0,179086	-0,0094
0,179613	0,0145
0,189524	0,0264
0,190023	0,0334
0,190325	0,0308
0,194898	0,0283
0,202899	0,0353
0,204294	0,028
0,209789	0,0231
0,220413	0,0279
0,22094	        0,0207
0,22346	        0,0018
0,235775	-0,0027
0,236293	-0,0072
0,237946	-0,0187
0,242626	-0,0207
0,252375	-0,0179
0,252852	-0,0198
0,257118	-0,0289
0,279298	-0,0284
0,279831	-0,0137
0,280145	-0,011
0,28039	        -0,0225
0,289776	-0,0316
0,290756	-0,0312
0,302878	-0,0071
0,303395	-0,0021
0,305075	-0,002
0,309781	0,0005
0,319913	0,0077
0,320426	0,0125
0,324102	0,0172
0,336463	0,0219
0,336981	0,0242
0,338504	0,0194
0,343202	0,0171
0,353708	0,0196
0,354288	0,0126
0,358343	0,0129
0,381214	0,0108
0,381845	-0,0007
0,382181	-0,0168
0,382461	-0,0256
0,382699	-0,0248
0,392169	-0,0241
0,392692	-0,0281
0,403893	-0,1935
0,404404	-0,4025
0,410605	-0,1849
0,419655	0,1662
0,420158	0,1108
0,424859	0,0462
0,437427	0,0415
0,438039	0,0984
0,439324	0,1239
0,444002	0,0922
0,453777	0,0727
0,454361	0,0651
0,458752	0,06
0,479293	0,0478
0,479823	0,0381
0,4802	        0,0357
0,48047	        0,0166
0,490188	0,0025
0,491377	0,0051
0,492263	0,0124
0,506003	0,0054
0,506636	-0,0015
0,507007	-0,0036
0,511379	-0,0105
0,522388	-0,022
0,522946	-0,024
0,538744	-0,0164
0,539344	-0,0232
0,540117	-0,0299
0,544793	-0,027
0,556137	-0,01
0,55681	        0,0022
0,559543	0,0119
0,587771	0,0121
0,58855	        0,0003
0,588992	0,003
0,589343	0,0127
0,58971	        0,0201
0,590027	0,0226
0,599584	0,0204
0,60025	        0,0253
0,610649	0,0207
0,611295	0,0089
0,612359	0,0044
0,624531	0,0023
0,625281	0,005
0,626732	0,0123
0,639321	0,0149
0,639922	0,0008
0,641425	-0,0061
0,656061	-0,013
0,656678	0,0111
0,660264	0,0159
0,686334	-0,0007
0,687024	-0,003
0,687525	0,0043
0,68794	        0,0115
0,688347	0,0163
0,697945	0,0163
0,698645	0,0188
0,710466	0,0188
0,711103	0,0141
0,711472	0,0166
0,723904	0,0262
0,724551	0,031
0,724921	0,0381
0,727496	0,0404
0,73935	        0,019
0,739939	0,0072
0,741746	0,0122
0,756841	-0,0019
0,757568	-0,0064
0,757961	0,0128
0,761086	0,02
0,785365	0,0152
0,785866	0,0199
0,786122	0,0316
0,786348	0,0361
0,795258	0,0453
0,79575	        0,0616
0,806507	0,0706
0,807083	0,0676
0,809262 	0,0576
0,82289	        0,0524
0,823448	0,0544
0,823815	0,0493
0,830767	0,03
0,839644	0,018
0,84018	        0,0109
0,842474	-0,0057
0,856074	-0,0174
0,8567	        -0,0243
0,85708	        -0,0288
0,861483	-0,0262
0,883698	-0,0237
0,8842	        -0,0166
0,884452	-0,0167
0,88468	        -0,0241
0,894278	-0,0243
0,895029	-0,0057
0,905721	-0,0039
0,906338	-0,0045
0,909659	-0,0123
0,920042	-0,02
0,920551	-0,0277
0,923892	-0,0424
0,92869	        -0,0618
0,938014	-0,0691
0,938417	-0,0691
0,942834	-0,0739
0,953296	-0,0809
0,953677	-0,076
0,95764	        -0,0853
0,962239	-0,1016
0,976182	-0,1082
0,976793	-0,1004
0,977148	-0,0998
1,005093	-0,1133
1,006249	-0,1528
1,006627	-0,1279
1,006956	-0,2148
1,007292	-0,3934
1,015928	-0,2454
1,016514	-0,0012
1,026936	-0,0132
1,027669	-0,0464
1,038926	-0,0817
1,039502	-0,093
1,039837	-0,0901
1,043645	-0,092
1,055809	-0,1202
1,056404	-0,16
1,058487	-0,1711
1,085058	-0,1822
1,085532	-0,2005
1,085817	-0,2162
1,086082	-0,2248
1,086335	-0,2286
1,095488	-0,249
1,095885	-0,2669
1,106682	-0,2823
1,107202	-0,3046
1,107642	-0,3576
1,111399	-0,422
1,120872	-0,4764
1,121364	-0,4687
1,136672	-0,4683
1,137071	-0,575
1,139635	-0,6097
1,144347	-0,6278
1,15438	        -0,6199
1,154889 	-0,6052
1,158897	-0,6098
1,171306	-0,6265
1,171859	-0,6432
1,173231	-0,6528
1,178298	-0,6481
1,201695	-0,6436
1,202257	-0,644
1,202564	-0,6397
1,202851	-0,6449
1,203109	-0,6691
1,213002	-0,686
1,213594	-0,7099
1,224014	-0,7668
1,224643	-0,8114
1,226824	-0,8344
1,237545	-0,8762
1,238094	-0,9344
1,240476	-0,9968
1,255536	-1,0139
1,256103	-1,0332
1,25972	        -1,0928
1,273739	-1,1519
1,274578	-1,1534
1,274951	-1,1121
1,278982	-1,1802
1,304894	-1,2715
1,305759	-1,3572
1,306157	-1,4468
1,306653	-1,462
1,307096	-1,4366
1,3158	        -1,3899
1,316533	-1,3388
1,326829	-1,2856
1,327548	-1,2541
1,328186	-1,237
1,340673	-1,22
1,341245	-1,2077
1,341832	-1,1622
1,345949	-1,1384
1,357257	-1,1575
1,358114	-1,1978
1,360707	-1,2543
1,3881	        -1,2865
1,38876	        -1,3255
1,38914	        -1,3167
1,389671	-1,3411
1,390112	-1,3985
1,399563	-1,4149
1,400132	-1,393
1,410403	-1,3523
1,410938	-1,2999
1,413162	-1,243
1,423592	-1,1841
1,424057	-1,1208
1,427811	-1,0555
1,439326	-0,9907
1,440023	-0,9475
1,442087	-0,9213
1,446608	-0,8951
1,456519	-0,8785
1,457047	-0,8785
1,461236	-0,876
1,47322	        -0,8663
1,473752	-0,8756
1,475725	-0,8989
1,503818	-0,9196
1,505163	-0,9234
1,505554	-0,8937
1,505898	-0,8737
1,506399	-0,8347
1,514986	-0,7532
1,515573	-0,6628
1,525722	-0,5683
1,526331	-0,4579
1,52876	        -0,3578
1,54029	        -0,2703
1,540877	-0,1977
1,542953	-0,1304
1,558375	-0,0779
1,559125	-0,0708
1,559479	-0,0969
1,562125	-0,1347
1,589801	-0,1933
1,590456	-0,2467
1,590827	-0,2804
1,591182	-0,3091
1,591499	-0,3254
1,591834	-0,3296
1,600785	-0,3266
1,601361	-0,3163
1,612059	-0,287
1,623811	-0,2956
1,624387	-0,3255
1,624924	-0,3601
1,629167	-0,4065
1,640143	-0,4551
1,640721	-0,5108
1,643792	-0,5591
1,656705	-0,5881
1,657256	-0,6385
1,658095	-0,6841
1,662843	-0,6244
1,674478	-0,4596
1,675053	-0,2472
1,67756	        -0,0233
1,704292	0,2075
1,704894	0,4283
1,705204	0,6107
1,705645	0,7594
1,705958	0,8626
1,706216	0,9156
1,715914	0,9328
1,716504	0,9215
1,726914	0,8745
1,729992	0,7965
1,740669	0,6518
1,741238	0,5886
1,74441	        0,5276
1,757255	0,476
1,758049	0,4481
1,75873	        0,4869
1,763251	0,5682
1,785527	0,6635
1,786172	0,7585
1,78657	        0,8221
1,786814	0,8496
1,796541	0,8986
1,797011	0,9883
1,797274	1,0588
1,809504	1,0865
1,810046	1,0712
1,811553	1,0514
1,825303	1,0293
1,825962	0,9309
1,826331	0,8182
1,841759	0,7606
1,842393	0,7364
1,842778	0,681
1,859252	0,5771
1,859792	0,4517
1,86006	        0,4387
1,865301	0,4735
1,874212	0,518
1,874704	0,5506
1,878489	0,6003
1,896558	0,6622
1,896987	0,7388
1,897221	0,8493
1,907786	0,9624
1,9084	        1,0423
1,908685	1,1248
1,912118	1,2241
1,924143	1,333
1,924699	1,4416
1,926599	1,5476
1,940692	1,6531
1,941255	1,7343
1,941769	1,8129
1,945675	1,884
1,958241	1,8833
1,958847	1,8396
1,960509	1,8538
1,974792	1,9362
1,975633	2,4022
1,979505	2,6848
2,006764	2,8272
2,008297	2,7864
2,008871	2,828
2,00949	        3,0425
2,01	        3,2572
2,010458	3,4241
2,020187	3,6027
2,021135	3,8143
2,02993	        4,016
2,030748	4,2124
2,041069	4,3465
2,041826	4,3803
2,042401	4,2881
2,046654	4,0894
2,057957	4,0071
2,05877	        4,0294
2,061212	4,0225
2,087875	4,0605
2,088867	4,16
2,089489	4,2969
2,090081	4,4518
2,090448	4,6311
2,099219	4,9044
2,100133	5,0221
2,110741	5,1636
2,111636	5,2761
2,113812	5,4073
2,125289	5,5688
2,126151	5,6911
2,128336	5,841
2,140845	6,0446
2,141645	6,199
2,142441	6,3589
2,14713	        6,5456
2,157971	6,7132
2,158794	6,8808
2,161807	7,0406
2,176465	7,2095
2,178004	7,3254
2,178733	7,2836
2,180839	7,1949
2,204587	7,1338
2,205548	7,0914
2,206192	7,0848
2,20685	        7,1023
2,216192	7,1171
2,217026	7,256
2,227978	7,3199
2,22904	        7,4091
2,229823	7,5878
2,240229	7,8318
2,241103	8,1984
2,243356	8,6351
2,256092	8,9674
2,256536	9,1697
2,257295	9,2067
2,262222	9,1246
2,279363	9,0056
2,280009	8,9537
2,280358	8,8597
2,290314	8,6572
2,290859	8,4751
2,291214	7,9183
2,295791	7,2113
2,307375	7,0877
2,308125	7,3571
2,310389	7,5425
2,324471	7,7841
2,325276	8,046
2,32966	        8,1665
2,34135	        8,3846
2,342111	7,9685
2,344011	7,1508
2,358889	6,2747
2,359824	5,4675
2,360468	4,6781
2,363149	3,7275
2,375632	2,6109
2,376664	1,7797
2,377906	0,7617
2,406749	-0,2769
2,407864	-0,5603
2,408584	-0,7198
2,409057	-0,8647
2,409591	-0,5936
2,410619	0,2948
2,41127	        1,144
2,418857	2,6282
2,42997	        4,5671
2,430866	5,1758
2,431449	5,3588
2,441571	5,5366
2,442455	5,2534
2,459553	5,0166
2,460525	4,8183
2,461116	4,7576
2,464069	4,6908
2,493035	4,2376
2,494195	3,1902
2,494802	1,766
2,495286	-0,0658
2,496881	-2,7481
2,497717	-5,8957
2,498395	-8,8605
2,505192	-11,3998
2,507553	-13,4533
2,511932	-15,2493
2,522568	-16,7311
2,523809	-17,5407
2,526913	-17,8719
2,531039	-18,31
2,545963	-19,6338
2,547019	-20,8759
2,547917	-21,3598
2,557687	-21,7777
2,558897	-21,7883
2,560008	-21,0073
2,571763	-19,3422
2,57441	        -15,6442
2,579341	-14,4609
2,585481	-13,565
2,588763	-12,6234
2,593727	-11,6045
2,598432	-10,7162
2,603807	-10,2476
2,607979	-10,0403
2,612735	-9,733
2,622532	-9,4216
2,623427	-9,2379
2,627168	-8,924
2,632292	-8,4375
2,637917	-8,1664
2,641531	-7,8911
2,646508	-7,344
2,652241	-6,9874
2,656051	-6,8285
2,661103	-6,7262
2,672791	-6,5897
2,673612	-6,424
2,675074	-6,5251
2,680084	-6,6511
2,689635	-6,5915
2,694281	-6,4459
2,702416	-6,2621
2,703888	-6,0373
2,708805	-6,0675
2,713437	-6,2566
2,721078	-6,4823
2,723178	-6,7376
2,727835	-7,0128
2,73598	        -7,2962
2,737571	-7,5426
2,742179	-7,8455
2,746834	-8,2625
2,753047	-8,7362
2,756522	-9,1809
2,761436	-9,5968
2,773173	-9,8742
2,774103	-9,9512
2,781252	-9,9501
2,781853	-9,9046
2,787879	-9,8074
2,79026	        -9,6897
2,794961	-9,6136
2,802648	-9,5453
2,809479	-9,4131
2,813936	-9,1422
2,819552	-9,0029
2,82382	        -8,8155
2,828556	-8,6063
2,836411	-8,4301
2,838601	-8,2773
2,843062	-8,1312
2,847953	-8,0182
2,853099	-7,955
2,861423	-7,9681
2,862506	-8,0383
2,887209	-8,0771
2,888103	-8,0941
2,888481	-8,1732
2,888867	-8,2618
2,889186	-8,3837
2,893092	-8,4746
2,895678	-8,3622
2,9018	        -8,2885
2,905404	-8,2772
2,910038	-8,2329
2,914668	-8,2513
2,919751	-8,2248
2,929223	-7,9581
2,93611	        -6,602
2,938911	-5,5834
2,943657	-4,2848
2,948322	-2,6017
2,953431	-0,683
2,958546	1,4416
2,962875	3,9966
2,973867	6,5869
2,975241	9,0007
2,978866	10,7963
2,98332	        10,8419
2,993227	10,0348
2,994397	9,6966
2,997187	10,0325
3,006794	11,4519
3,007882	14,2999
3,010894	17,0364
3,015471	19,2805
3,020698	22,0052
3,025131	24,7046
3,030058	26,8645
3,039804	28,1824
3,040921	28,794
3,051811	28,9959
3,064079	28,043
3,066527	25,7257
3,068835	21,9621
3,071301	17,2108
3,078755	12,6085
3,079376	8,5895
3,089096	5,0401
3,090519	2,0811
3,092042	-0,291
3,096937	-2,0561
3,101882	-2,6397
3,10662	        -2,2617
3,111729	-1,7944
3,11789	        -1,265
3,121317	-0,4876
3,125898	0,5468
3,130553	1,6727
3,135423	2,6967
3,140339	3,6793
3,14495	        4,7123
3,152804	5,892
3,154722	7,0065
3,159401	7,7359
3,172614	8,2076
3,17968	        8,5254
3,180424	8,3687
3,188279	8,0368
3,189127	7,5416
3,193084	6,9427
3,19824	        6,3309
3,203128	5,7561
3,207626	5,1966
3,212358	4,6187
3,220028	4,0369
3,222026	3,4915
3,226631	2,9753
3,231427	2,5312
3,236681	2,1495
3,241248	1,804
3,246186	1,5088
3,253838	1,2664
3,255597	1,103
3,260333	0,9874
3,273069	0,8886
3,273616	0,7896
3,28006	        0,6999
3,280812	0,6575
3,289188	0,6443
3,293854	0,6422
3,29891	        0,6246
3,303552	0,515
3,308582	0,2968
3,313014	0,0128
3,319023	-0,3345
3,32277	        -0,5415
3,327549	-0,6464
3,332262	-0,8406
3,337299	-1,0448
3,341819	-1,1345
3,346532	-1,1915
3,352857	-1,1917
3,356205	-1,1497
3,360976	-1,0943
3,365615	-0,9873
3,373979	-0,8551
3,3813	        -0,6475
3,381898	-0,4627
3,389587	-0,267
3,39007	        0,0018
3,394761	0,279
3,399637	0,5122
3,409293	0,7276
3,413653	1,1936
3,41938	        1,4725
3,423404	1,529
3,428506	1,5021
3,43307	        1,6049
3,43814	        1,7369
3,442482	1,8646
3,447429	1,9857
3,455729	2,1146
3,461058	2,275
3,461722	2,4286
3,469567	2,5394
3,471908	2,7629
3,475914	2,9075
3,480795	3,1191
3,487501	3,2922
3,490237	3,446
3,495055	3,5852
3,501803	3,4565
3,504817	3,2922
3,509606	3,3912
3,514496	3,3897
3,519271	3,025
3,528939	2,7614
3,535602	2,2997
3,538617	2,0753
3,543199	1,875
3,54819	        1,6796
3,553018	1,4747
3,557877	1,32
3,562706	1,1965
3,576056	1,037
3,576592	0,8537
3,576796	0,6633
3,581911	0,4516
3,586423	0,2066
3,591625	-0,0644
3,596272	-0,3733
3,602828	-0,7511
3,605897	-1,1619
3,610707	-1,5864
3,615259	-2,051
3,620152	-2,5388
3,625053	-3,014
3,629646	-3,4288
3,636279	-3,788
3,639293	-4,0655
3,648919	-4,2686
3,655293	-4,5145
3,661629	-4,5521
3,663342	-4,5154
3,673503	-4,4308
3,674278	-4,3557
3,677691	-4,3066
3,682342	-4,2597
3,692882	-4,222
3,693644	-4,1912
3,696878	-4,1648
3,703168	-4,1356
3,706314	-4,1063
3,710838	-4,0696
3,716517	-3,9825
3,720753	-3,862
3,725329	-3,7319
3,730139	-3,4178
3,736713	-2,9629
3,73995	        -2,5874
3,744625	-2,2288
3,749344	-1,8299
3,754396	-1,4049
3,759214	-0,9468
3,773792	-0,4696
3,774709	0,3969
3,778861	0,7508
3,783303	1,0806
3,788963	1,3408
3,792815	1,4288
3,797884	1,3996
3,802943	1,3539
3,807733	1,2965
3,812245	1,2129
3,816709	1,1032
3,821719	0,9699
3,826226	0,8225
3,830895	0,7231
3,836772	0,6741
3,840886	0,6442
3,845836	0,6001
3,853935	0,5441
3,85525	        0,4666
3,860037	0,3749
3,864816	0,2785
3,874088	0,1607
3,874745	0,0359
3,881844	-0,1031
3,889279	-0,2443
3,895385	-0,4976
3,899474	-0,5904
3,904055	-0,6687
3,908382	-0,7253
3,912718	-0,7651
3,92013	        -0,7857
3,922449	-0,7655
3,926998	-0,7096
3,931574	-0,6345
3,93641	        -0,5475
3,941331	-0,4631
3,946291	-0,3739
3,95342	        -0,268
3,956652	-0,1408
3,960643	-0,0208
3,965263	0,0608
3,970253	0,1184
3,975062	0,2238
3,979812	0,7619
3,989099	0,7686
3,990011	0,1966
3,994351	0,1084
3,999327	0,1709
4,008908	0,231
4,013498	0,2886
4,022704	0,2625
4,02364	        0,2436
4,028074	0,2342
4,032586	0,2417
4,039347	0,2562
4,042397	0,2277
4,047551	0,1921
4,056224	0,1397
4,057203	0,0898
4,061823	0,1284
4,066271	0,1885
4,078849	0,2103
4,079973	0,2344
4,080866	0,2848
4,098171	0,3303
4,09889	        0,371
4,099216	0,4189
4,100194	0,4523
4,108328	0,4976
4,109695	0,5428
4,114343	0,545
4,121345	0,528
4,12886	        0,499
4,133221	0,439
4,138885	0,4029
4,143124	0,3478
4,14792	        0,2879
4,157178	0,2306
