	massa Joelho	massa Torno	massa Quadril	massa Dedo	massa Tronco		
t	J_x	J_y	T_x	T_y	Q_x	Q_y	D_x	D_y	Tr_x	Tr_y	
0.000	1.309	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.159	0.331
0.034	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.067	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.101	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.134	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.168	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.201	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.235	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.269	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.302	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.336	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.369	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.403	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.437	1.304	-0.447	1.541	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.470	1.304	-0.447	1.536	-0.843	1.188	0.138	1.420	-1.022	1.154	0.322
0.504	1.304	-0.447	1.536	-0.843	1.183	0.138	1.420	-1.022	1.154	0.322
0.537	1.299	-0.447	1.536	-0.839	1.178	0.138	1.420	-1.022	1.149	0.322
0.571	1.294	-0.447	1.536	-0.839	1.174	0.138	1.420	-1.022	1.135	0.322
0.604	1.290	-0.447	1.531	-0.839	1.164	0.138	1.420	-1.022	1.125	0.322
0.638	1.275	-0.452	1.531	-0.834	1.159	0.138	1.420	-1.022	1.120	0.322
0.672	1.256	-0.452	1.522	-0.829	1.149	0.133	1.420	-1.022	1.111	0.317
0.705	1.236	-0.457	1.517	-0.824	1.135	0.133	1.420	-1.022	1.091	0.317
0.739	1.203	-0.461	1.502	-0.814	1.120	0.133	1.420	-1.022	1.082	0.317
0.772	1.169	-0.466	1.488	-0.809	1.106	0.133	1.420	-1.022	1.072	0.317
0.806	1.116	-0.476	1.454	-0.795	1.087	0.128	1.406	-1.013	1.053	0.312
0.840	1.058	-0.486	1.411	-0.780	1.072	0.128	1.381	-0.998	1.029	0.312
0.873	0.995	-0.490	1.357	-0.766	1.058	0.119	1.333	-0.974	1.014	0.307
0.907	0.927	-0.486	1.304	-0.751	1.048	0.119	1.261	-0.959	0.995	0.307
0.940	0.874	-0.471	1.236	-0.751	1.033	0.119	1.188	-0.955	0.990	0.302
0.974	0.816	-0.466	1.159	-0.761	1.009	0.114	1.087	-0.955	0.971	0.302
1.007	0.768	-0.457	1.072	-0.780	0.985	0.114	0.966	-0.950	0.956	0.302
1.041	0.719	-0.447	0.980	-0.805	0.971	0.114	0.845	-0.955	0.942	0.302
1.075	0.676	-0.437	0.874	-0.834	0.942	0.114	0.734	-0.955	0.908	0.298
1.108	0.637	-0.432	0.768	-0.858	0.917	0.104	0.598	-0.950	0.879	0.298
1.142	0.613	-0.432	0.666	-0.863	0.879	0.104	0.482	-0.945	0.850	0.293
1.175	0.589	-0.442	0.569	-0.882	0.840	9.940E-2	0.381	-0.926	0.821	0.288
1.209	0.560	-0.452	0.492	-0.882	0.811	8.973E-2	0.289	-0.906	0.792	0.283
1.243	0.531	-0.457	0.419	-0.882	0.768	8.490E-2	0.231	-0.906	0.763	0.273
1.276	0.487	-0.457	0.395	-0.892	0.734	7.523E-2	0.183	-0.911	0.719	0.269
1.310	0.448	-0.461	0.381	-0.897	0.685	7.523E-2	0.173	-0.940	0.690	0.264
1.343	0.405	-0.452	0.361	-0.897	0.651	8.490E-2	0.163	-0.955	0.642	0.269
1.377	0.361	-0.452	0.357	-0.901	0.608	8.490E-2	0.158	-0.964	0.613	0.269
1.410	0.337	-0.447	0.352	-0.897	0.555	0.104	0.158	-0.974	0.569	0.278
1.444	0.318	-0.452	0.347	-0.897	0.516	0.104	0.154	-0.984	0.521	0.283
1.478	0.294	-0.452	0.342	-0.897	0.482	0.114	0.154	-0.984	0.482	0.288
1.511	0.279	-0.452	0.337	-0.897	0.453	0.124	0.154	-0.984	0.453	0.298
1.545	0.260	-0.452	0.337	-0.892	0.419	0.124	0.154	-0.984	0.419	0.302
1.578	0.250	-0.457	0.342	-0.897	0.400	0.128	0.154	-0.984	0.390	0.302
1.612	0.241	-0.452	0.342	-0.897	0.366	0.128	0.154	-0.984	0.366	0.302
1.646	0.236	-0.461	0.342	-0.897	0.352	0.128	0.154	-0.988	0.337	0.302
1.679	0.226	-0.461	0.342	-0.897	0.328	0.133	0.154	-0.988	0.318	0.307
1.713	0.212	-0.466	0.342	-0.897	0.299	0.133	0.154	-0.988	0.284	0.307
1.746	0.202	-0.461	0.342	-0.897	0.274	0.128	0.154	-0.988	0.265	0.307
1.780	0.187	-0.466	0.337	-0.892	0.250	0.128	0.154	-0.988	0.241	0.307
1.813	0.178	-0.466	0.332	-0.892	0.231	0.128	0.154	-0.988	0.216	0.307
1.847	0.168	-0.466	0.332	-0.892	0.197	0.128	0.154	-0.988	0.187	0.307
1.881	0.149	-0.471	0.332	-0.877	0.173	0.128	0.154	-0.988	0.163	0.307
1.914	0.139	-0.466	0.332	-0.877	0.149	0.124	0.154	-0.988	0.134	0.307
1.948	0.125	-0.471	0.332	-0.872	0.125	0.124	0.154	-0.988	0.110	0.307
1.981	0.110	-0.466	0.323	-0.868	8.584E-2	0.119	0.154	-0.988	7.133E-2	0.302
2.015	9.067E-2	-0.466	0.323	-0.858	5.199E-2	0.119	0.154	-0.988	5.683E-2	0.302
2.048	7.133E-2	-0.471	0.313	-0.848	2.782E-2	0.114	0.154	-0.988	1.815E-2	0.302
2.082	4.233E-2	-0.471	0.308	-0.839	-1.186E-3	0.114	0.154	-0.984	-1.085E-2	0.307
2.116	1.332E-2	-0.461	0.303	-0.829	-2.536E-2	0.114	0.154	-0.984	-3.019E-2	0.312
2.149	-6.020E-3	-0.466	0.289	-0.819	-5.437E-2	0.119	0.154	-0.979	-4.953E-2	0.307
2.183	-2.052E-2	-0.466	0.274	-0.809	-7.854E-2	0.119	0.154	-0.979	-7.370E-2	0.307
2.216	-3.986E-2	-0.461	0.270	-0.809	-9.788E-2	0.119	0.154	-0.984	-9.304E-2	0.307
2.250	-4.953E-2	-0.461	0.255	-0.800	-0.112	0.119	0.154	-0.984	-0.112	0.307
2.284	-5.920E-2	-0.461	0.255	-0.800	-0.132	0.119	0.149	-0.984	-0.127	0.307
2.317	-7.370E-2	-0.466	0.250	-0.790	-0.141	0.119	0.149	-0.979	-0.137	0.307
2.351	-7.854E-2	-0.461	0.241	-0.790	-0.151	0.119	0.139	-0.979	-0.146	0.307
2.384	-8.337E-2	-0.466	0.236	-0.790	-0.166	0.119	0.139	-0.979	-0.161	0.312
2.418	-8.821E-2	-0.461	0.231	-0.790	-0.170	0.119	0.139	-0.979	-0.175	0.312
2.451	-9.304E-2	-0.457	0.221	-0.790	-0.170	0.119	0.139	-0.979	-0.175	0.312
2.485	-9.304E-2	-0.461	0.226	-0.785	-0.180	0.119	0.139	-0.979	-0.175	0.312
2.519	-9.304E-2	-0.461	0.226	-0.780	-0.180	0.119	0.139	-0.979	-0.185	0.312
2.552	-9.788E-2	-0.461	0.221	-0.785	-0.185	0.119	0.139	-0.979	-0.199	0.312
2.586	-9.788E-2	-0.461	0.221	-0.785	-0.185	0.119	0.139	-0.979	-0.199	0.312
2.619	-0.103	-0.461	0.221	-0.785	-0.185	0.124	0.139	-0.979	-0.190	0.312
2.653	-0.103	-0.461	0.221	-0.785	-0.185	0.114	0.139	-0.979	-0.190	0.312
2.687	-0.103	-0.461	0.221	-0.785	-0.185	0.119	0.139	-0.979	-0.199	0.312
2.720	-0.103	-0.461	0.221	-0.785	-0.185	0.119	0.139	-0.979	-0.199	0.307
2.754	-0.103	-0.461	0.221	-0.785	-0.185	0.119	0.139	-0.979	-0.199	0.312
2.787	-0.103	-0.461	0.221	-0.785	-0.185	0.119	0.144	-0.979	-0.199	0.312
2.821	-0.103	-0.461	0.221	-0.785	-0.185	0.119	0.144	-0.979	-0.199	0.312
2.854	-0.103	-0.461	0.221	-0.785	-0.190	0.114	0.144	-0.979	-0.199	0.312
2.888	-0.103	-0.461	0.221	-0.785	-0.190	0.114	0.144	-0.979	-0.204	0.312
2.922	-0.103	-0.461	0.221	-0.785	-0.190	0.114	0.144	-0.979	-0.204	0.312
