t	x1	y1	x2	y2	
0,000	0,363	0,309	0,311	-0,378
0,033	0,363	0,309	0,311	-0,378
0,067	0,363	0,309	0,311	-0,378
0,100	0,363	0,309	0,311	-0,378
0,133	0,363	0,309	0,311	-0,378
0,167	0,363	0,309	0,321	-0,387
0,200	0,363	0,309	0,321	-0,387
0,233	0,363	0,309	0,321	-0,387
0,267	0,363	0,309	0,321	-0,387
0,300	0,363	0,309	0,321	-0,387
0,333	0,363	0,309	0,321	-0,387
0,367	0,363	0,309	0,317	-0,384
0,400	0,363	0,309	0,314	-0,384
0,433	0,363	0,309	0,314	-0,384
0,467	0,363	0,309	0,311	-0,384
0,500	0,363	0,309	0,311	-0,384
0,533	0,363	0,309	0,311	-0,384
0,567	0,363	0,309	0,311	-0,384
0,600	0,363	0,309	0,311	-0,384
0,633	0,363	0,309	0,311	-0,384
0,667	0,363	0,309	0,311	-0,384
0,700	0,363	0,309	0,311	-0,384
0,733	0,363	0,309	0,311	-0,384
0,767	0,363	0,309	0,311	-0,384
0,800	0,363	0,309	0,311	-0,384
0,833	0,363	0,309	0,304	-0,391
0,867	0,363	0,309	0,301	-0,391
0,900	0,363	0,309	0,298	-0,387
0,933	0,363	0,309	0,288	-0,387
0,967	0,363	0,309	0,275	-0,387
1,000	0,363	0,309	0,259	-0,381
1,033	0,363	0,309	0,243	-0,378
1,067	0,363	0,309	0,233	-0,374
1,100	0,363	0,309	0,220	-0,368
1,133	0,363	0,309	0,204	-0,365
1,167	0,363	0,309	0,194	-0,361
1,200	0,363	0,309	0,174	-0,352
1,233	0,366	0,309	0,158	-0,355
1,267	0,376	0,309	0,145	-0,352
1,300	0,376	0,309	0,129	-0,339
1,333	0,376	0,309	0,109	-0,329
1,367	0,376	0,309	8,954E-2	-0,326
1,400	0,389	0,309	7,978E-2	-0,319
1,433	0,389	0,309	6,024E-2	-0,303
1,467	0,389	0,309	5,047E-2	-0,296
1,500	0,389	0,309	3,093E-2	-0,287
1,533	0,389	0,309	1,140E-2	-0,274
1,567	0,389	0,309	-1,628E-3	-0,257
1,600	0,389	0,309	-1,465E-2	-0,251
1,633	0,389	0,309	-2,768E-2	-0,238
1,667	0,399	0,303	-4,070E-2	-0,225
1,700	0,399	0,303	-6,349E-2	-0,215
1,733	0,399	0,303	-7,326E-2	-0,208
1,767	0,396	0,306	-8,629E-2	-0,189
1,800	0,396	0,306	-9,606E-2	-0,176
1,833	0,396	0,306	-0,109	-0,156
