t	x3	y3	x4	y4	
0,000	0,239	0,271	0,154	-0,463
0,033	0,239	0,271	0,154	-0,463
0,067	0,239	0,271	0,154	-0,463
0,100	0,239	0,271	0,154	-0,463
0,133	0,239	0,271	0,154	-0,463
0,167	0,239	0,271	0,154	-0,463
0,200	0,239	0,271	0,154	-0,463
0,233	0,239	0,271	0,154	-0,463
0,267	0,239	0,271	0,154	-0,463
0,300	0,239	0,271	0,145	-0,463
0,333	0,239	0,271	0,137	-0,459
0,367	0,239	0,271	0,115	-0,450
0,400	0,239	0,271	8,533E-2	-0,446
0,433	0,256	0,267	3,413E-2	-0,437
0,467	0,269	0,267	-1,280E-2	-0,424
0,500	0,265	0,279	-8,106E-2	-0,395
0,533	0,265	0,279	-0,145	-0,356
0,567	0,269	0,279	-0,222	-0,301
0,600	0,273	0,275	-0,277	-0,241
0,633	0,273	0,275	-0,324	-0,181
0,667	0,273	0,275	-0,375	-0,113
0,700	0,273	0,275	-0,410	-4,480E-2
0,733	0,260	0,284	-0,431	2,773E-2
0,767	0,273	0,288	-0,452	8,319E-2
0,800	0,273	0,288	-0,461	0,134
0,833	0,273	0,288	-0,465	0,177
0,867	0,273	0,288	-0,465	0,220
0,900	0,273	0,288	-0,469	0,254
0,933	0,273	0,288	-0,469	0,275
0,967	0,273	0,288	-0,465	0,292
1,000	0,273	0,288	-0,465	0,305
1,033	0,273	0,288	-0,461	0,314
1,067	0,273	0,288	-0,461	0,326
1,100	0,273	0,288	-0,456	0,335
1,133	0,273	0,288	-0,456	0,339
1,167	0,273	0,288	-0,461	0,352
1,200	0,273	0,288	-0,456	0,352
1,233	0,273	0,288	-0,456	0,352
1,267	0,273	0,288	-0,456	0,352
1,300	0,273	0,288	-0,456	0,352
1,333	0,273	0,288	-0,456	0,352
1,367	0,273	0,288	-0,452	0,348
1,400	0,273	0,288	-0,456	0,343
1,433	0,273	0,288	-0,456	0,343
1,467	0,273	0,288	-0,456	0,343
1,500	0,273	0,288	-0,456	0,343
1,533	0,273	0,288	-0,456	0,343
1,567	0,273	0,288	-0,456	0,343
1,600	0,273	0,288	-0,456	0,343
1,633	0,273	0,288	-0,456	0,343
1,667	0,273	0,288	-0,456	0,343
1,700	0,273	0,288	-0,452	0,339
1,733	0,273	0,288	-0,452	0,339
1,767	0,273	0,288	-0,452	0,339
1,800	0,273	0,288	-0,452	0,339
1,833	0,273	0,288	-0,452	0,339
1,867	0,273	0,288	-0,452	0,339
1,900	0,273	0,288	-0,452	0,339
1,933	0,273	0,288	-0,452	0,339
1,967	0,273	0,288	-0,452	0,339
2,000	0,273	0,288	-0,452	0,339
2,033	0,273	0,288	-0,452	0,339
2,067	0,273	0,288	-0,452	0,339
2,100	0,273	0,288	-0,444	0,335
2,133	0,273	0,288	-0,448	0,335
2,167	0,273	0,288	-0,448	0,335
2,200	0,273	0,288	-0,448	0,335
2,233	0,273	0,288	-0,448	0,335
2,267	0,273	0,288	-0,448	0,335
2,300	0,273	0,288	-0,448	0,335
2,333	0,273	0,288	-0,448	0,335
2,367	0,273	0,288	-0,448	0,335
2,400	0,273	0,288	-0,448	0,335
2,433	0,273	0,288	-0,456	0,331
2,467	0,273	0,288	-0,452	0,322
2,500	0,273	0,288	-0,452	0,322
2,533	0,273	0,288	-0,452	0,322
2,567	0,273	0,288	-0,452	0,314
2,600	0,273	0,288	-0,452	0,314
2,633	0,273	0,288	-0,452	0,314
2,667	0,273	0,288	-0,452	0,305
2,700	0,273	0,288	-0,452	0,305
2,733	0,273	0,288	-0,452	0,305
2,767	0,273	0,288	-0,452	0,305
2,800	0,273	0,288	-0,452	0,305
2,833	0,273	0,288	-0,452	0,305
2,867	0,273	0,288	-0,452	0,305
2,900	0,273	0,288	-0,452	0,305
2,933	0,273	0,288	-0,452	0,305
